Product,Type,Release_Date,Process_Size,TDP,Die_Size,Transistors,Freq,Vendor
Intel Core i3-10350K,CPU,4/30/20,14,91,,,4100,Intel
Intel Pentium G3450T,CPU,7/21/14,22,35,177,1400,2900,Intel
AMD Athlon XP 1600+,CPU,1/1/01,130,49,80,37,1400,AMD
Intel Core i5-8400,CPU,10/5/17,14,65,,,2800,Intel
AMD Athlon X2 QL-62,CPU,9/1/08,65,25,,,2000,AMD
AMD Ryzen 3 PRO 3300U,CPU,4/8/19,12,15,210,4940,2100,AMD
AMD Ryzen 3 PRO 4350G,CPU,7/21/20,7,65,,,3800,AMD
AMD Athlon 64 3400+,CPU,4/27/04,130,89,144,105,2400,AMD
Intel Xeon Phi 7110X,CPU,11/12/12,22,300,350,5000,1250,Intel
Intel Atom D410,CPU,1/4/10,45,10,66,123,1667,Intel
Intel Xeon L5520,CPU,3/30/09,45,60,263,731,2266,Intel
Intel Core i5-7600T,CPU,1/3/17,14,35,,,2800,Intel
AMD Athlon 64 X2 4200+,CPU,5/23/06,90,89,156,154,2200,AMD
Intel Pentium 4 HT EE 3.46,CPU,10/31/04,130,110,237,178,3460,Intel
Intel Core i7-10700F,CPU,4/30/20,14,65,,,2900,Intel
Intel Core 2 Duo T7500,CPU,5/27/07,65,35,143,293,2200,Intel
AMD Athlon X2 QL-60,CPU,6/1/08,65,35,,,1900,AMD
Intel Pentium Gold G6605,CPU,3/16/21,14,65,,,4300,Intel
Intel Xeon Gold 6348,CPU,4/6/21,10,235,,,2600,Intel
Intel Core i7-970,CPU,7/19/10,32,130,239,1170,3200,Intel
Intel Celeron B840,CPU,7/1/11,32,35,131,504,1900,Intel
Intel Core i7-8850H,CPU,4/2/18,14,45,149,,2700,Intel
AMD Athlon II X3 405e,CPU,10/20/09,45,45,169,300,2300,AMD
Intel Core i3-10110Y,CPU,8/21/19,14,9,,,1000,Intel
AMD Ryzen 3 3300X,CPU,4/24/20,7,65,74,3800,3800,AMD
Intel Core i3-2120T,CPU,9/4/11,32,35,131,504,2600,Intel
AMD Athlon II X2 245e,CPU,5/11/10,45,45,117,410,2900,AMD
Intel Pentium 4 519K,CPU,1/1/05,90,84,109,125,3060,Intel
Intel Core 2 Duo E4400,CPU,7/22/07,65,65,111,167,2000,Intel
AMD Athlon 1400,CPU,6/6/01,180,72,120,37,1400,AMD
AMD Sempron 3000+,CPU,11/23/04,90,25,,63,1800,AMD
Intel Xeon E5-2637 v2,CPU,9/1/13,22,130,160,1400,3500,Intel
Intel Core i5-9500,CPU,10/19/18,14,65,,,3000,Intel
Intel Xeon Silver 4316,CPU,4/6/21,10,150,,,2300,Intel
Intel Xeon E7-4850 v3,CPU,6/1/15,22,115,160,1400,2200,Intel
Intel Core i3-8000,CPU,9/1/18,14,65,,,3600,Intel
Intel Pentium G3420,CPU,9/1/13,22,54,177,1400,3200,Intel
Intel Pentium G4560,CPU,1/3/17,14,51,,,3500,Intel
Intel Core i5-4590,CPU,5/1/14,22,84,177,1400,3300,Intel
Intel Xeon 5120,CPU,6/26/06,65,65,,,1866,Intel
AMD Athlon 64 3400+,CPU,1/6/04,130,89,193,105,2200,AMD
Intel Pentium Gold G6400,CPU,4/30/20,14,58,,,4000,Intel
Intel Xeon E5-2630 v2,CPU,9/1/13,22,80,160,1400,2600,Intel
Intel Core 2 Duo E8190,CPU,1/1/08,45,65,104,410,2667,Intel
Intel Pentium G640T,CPU,6/3/12,32,35,131,504,2400,Intel
Intel Core 2 Solo ULV SU3500,CPU,3/29/09,45,5,107,410,1400,Intel
AMD Athlon Gold 3150GE,CPU,7/21/20,12,35,,,3500,AMD
AMD Athlon 220GE,CPU,6/1/18,14,35,192,4800,3400,AMD
Intel Core i7-8705G,CPU,2/1/18,14,65,,,3100,Intel
AMD Sempron 2600+,CPU,1/1/01,130,25,144,69,1600,AMD
AMD Athlon II X3 425,CPU,10/20/09,45,95,169,300,2700,AMD
Intel Core i5-6600K,CPU,7/2/15,14,95,,,3500,Intel
AMD Athlon 64 4000+ (F3),CPU,2/20/07,90,59,1,154,2600,AMD
Intel Xeon 5063,CPU,5/23/06,65,95,,,3200,Intel
AMD Sempron LE-1250,CPU,10/8/07,65,45,,,2200,AMD
Intel Xeon 3.4,CPU,6/28/04,90,135,135,155,3400,Intel
Intel Celeron N2840,CPU,5/22/14,22,7,,,2160,Intel
Intel Celeron G5920,CPU,4/30/20,14,58,,,3500,Intel
AMD Athlon II X3 445,CPU,5/11/10,45,95,169,300,3100,AMD
Intel Pentium Gold G6500,CPU,4/30/20,14,58,,,4100,Intel
AMD Ryzen 3 3200G,CPU,7/7/19,12,65,210,49,3600,AMD
AMD Opteron 146,CPU,8/2/05,90,67,,106,2000,AMD
AMD A8-7680,CPU,10/26/18,28,45,246,1178,3500,AMD
AMD Ryzen Threadripper 1900,CPU,8/31/17,14,125,213,9600,3100,AMD
AMD Ryzen 7 2800H,CPU,5/30/18,14,15,246,,3400,AMD
AMD Athlon 64 X2 3800+ EE SFF,CPU,5/23/06,90,35,220,154,2000,AMD
Intel Core i5-10210Y,CPU,8/21/19,14,9,,,1000,Intel
AMD Ryzen 5 2500U,CPU,10/26/17,14,15,246,,2000,AMD
Intel Core i3-10300,CPU,4/30/20,14,62,,,3700,Intel
AMD Opteron 248,CPU,12/1/04,90,85,,106,2200,AMD
AMD Opteron X2 275,CPU,5/31/05,90,95,,233,2200,AMD
Intel Xeon E5-4607,CPU,5/14/12,32,95,435,2270,2200,Intel
Intel Core 2 Duo T7800,CPU,9/27/07,65,35,143,293,2600,Intel
AMD Opteron 844,CPU,6/30/03,130,85,193,106,1800,AMD
Intel Pentium M 1.70,CPU,6/2/03,130,24,100,77,1700,Intel
Intel Xeon E7-8870 v3,CPU,6/1/15,22,140,160,1400,2100,Intel
AMD Athlon II X3 400e,CPU,10/20/09,45,45,169,300,2200,AMD
Intel Core i5-10310Y,CPU,8/21/19,14,9,,,1100,Intel
AMD Opteron X2 885,CPU,3/6/06,90,95,,233,2600,AMD
Intel Pentium E5300,CPU,11/30/08,45,65,82,228,2600,Intel
AMD Opteron 840,CPU,9/9/03,130,82,193,106,1400,AMD
AMD Sempron 145,CPU,9/1/10,45,45,117,234,2800,AMD
Intel Pentium M 730,CPU,1/19/05,90,27,84,140,1600,Intel
Intel Atom E665CT,CPU,11/22/10,45,7,26,47,1300,Intel
Intel Celeron 2.0,CPU,9/18/02,130,73,146,55,2000,Intel
Intel Xeon 3.06,CPU,7/14/03,130,97,237,286,3066,Intel
Intel Xeon Platinum 9282,CPU,4/2/19,14,400,,8000,2600,Intel
AMD Opteron 142,CPU,5/18/04,130,82,193,106,1600,AMD
Intel Xeon X5650,CPU,3/16/10,32,95,239,1170,2666,Intel
AMD Z-01,CPU,6/1/11,40,6,,,1000,AMD
AMD A4-3300,CPU,9/7/11,32,65,228,1178,2500,AMD
AMD FX-8150,CPU,10/12/11,32,125,315,1200,3600,AMD
Intel Xeon E7-8850,CPU,4/3/11,32,130,513,2600,2000,Intel
AMD Athlon 64 X2 3800+ EE,CPU,5/23/06,90,65,220,154,2000,AMD
Intel Xeon L5630,CPU,3/16/10,32,40,239,1170,2133,Intel
Intel Core Solo ULV U1500,CPU,4/19/06,65,5,90,151,1333,Intel
Intel Pentium 4 511,CPU,1/1/05,90,84,109,125,2800,Intel
Intel Celeron 440,CPU,6/3/07,65,35,77,105,2000,Intel
Intel Xeon Platinum 8253,CPU,12/11/18,14,125,,8000,2200,Intel
Intel Atom Z650,CPU,4/11/11,45,3,65,140,1200,Intel
AMD A10-6800K,CPU,6/1/13,32,100,246,1178,4100,AMD
AMD A10-6790K,CPU,10/28/13,32,100,246,1178,4000,AMD
Intel Celeron D 340,CPU,9/22/04,90,84,109,125,2930,Intel
AMD Turion X2 RM-75,CPU,12/1/08,65,35,,,2200,AMD
AMD Opteron 846,CPU,12/1/04,90,85,,106,2000,AMD
Intel Pentium M 755,CPU,5/10/04,90,21,84,140,2000,Intel
AMD Mobile Athlon 64 2700+,CPU,8/1/04,130,82,193,106,1600,AMD
AMD Athlon X4 970,CPU,7/27/17,28,65,246,1178,3800,AMD
AMD Sempron 2200+,CPU,1/1/01,130,62,101,63,1500,AMD
AMD EPYC 7713,CPU,3/15/21,7,225,,,2000,AMD
Intel Core i3-4100E,CPU,9/4/13,22,37,118,1400,2400,Intel
Intel Core i5-9600,CPU,10/19/18,14,65,,,3100,Intel
Intel Core m3-8114Y,CPU,5/5/18,10,28,123,,1500,Intel
AMD A8-5500B,CPU,10/2/12,32,65,246,1178,3200,AMD
AMD Opteron 244,CPU,12/1/04,90,85,,106,1800,AMD
AMD Mobile Athlon 64 2800+,CPU,8/1/04,130,35,193,106,1800,AMD
Intel Xeon X5570,CPU,3/30/09,45,95,263,731,2933,Intel
Intel Core i9-9980XE,CPU,10/19/18,14,165,,,3000,Intel
Intel Pentium G4600T,CPU,1/3/17,14,35,,,3000,Intel
Intel Core i7-960,CPU,10/20/09,45,130,263,731,3200,Intel
AMD Athlon 64 FX-57,CPU,6/27/05,90,104,115,114,2800,AMD
AMD A4-5150M,CPU,3/12/13,32,35,246,1178,2700,AMD
Intel Core i7-8700K,CPU,10/5/17,14,95,154,,3700,Intel
Intel Core 2 Duo E7300,CPU,8/10/08,45,65,107,420,2667,Intel
AMD Athlon X2 6500 BE,CPU,9/8/08,65,95,285,450,2300,AMD
Intel Xeon Gold 5318S,CPU,4/6/21,10,165,,,2100,Intel
AMD A6-9550,CPU,7/27/17,28,65,246,1178,3800,AMD
AMD Athlon XP 1700+,CPU,1/1/01,130,50,80,37,1467,AMD
AMD Sempron 3500+ EE SFF,CPU,5/23/06,90,35,103,81,2000,AMD
Intel Pentium G630,CPU,9/4/11,32,65,131,504,2700,Intel
AMD Opteron 148,CPU,8/2/05,90,85,,106,2200,AMD
Intel Xeon Gold 5320T,CPU,4/6/21,10,150,,,2300,Intel
AMD Ryzen 5 2600H,CPU,5/30/18,14,15,246,,3300,AMD
Intel Core i5-8250U,CPU,8/21/17,14,15,123,,1600,Intel
Intel Pentium E6500,CPU,8/9/09,45,65,82,228,2933,Intel
Intel Core i5-3335S,CPU,11/1/12,22,65,160,1480,2700,Intel
Intel Pentium G2120,CPU,9/3/12,22,55,94,,3100,Intel
Intel Core i7-6700TE,CPU,9/1/15,14,35,,,2400,Intel
Intel Pentium 4 HT 640,CPU,2/20/05,90,84,109,169,3200,Intel
AMD Athlon 220GE,CPU,12/21/18,14,35,192,4800,3400,AMD
AMD EPYC 7313,CPU,3/15/21,7,155,,,3000,AMD
AMD Opteron 156,CPU,5/1/05,90,104,,106,3000,AMD
AMD Phenom II X4 970 BE,CPU,9/21/10,45,125,258,758,3500,AMD
Intel Core i5-8650,CPU,9/1/18,14,65,,,3100,Intel
Intel Xeon E5506,CPU,3/30/09,45,80,263,731,2133,Intel
Intel Core i3-6100,CPU,9/1/15,14,51,150,1400,3700,Intel
AMD Ryzen Threadripper PRO 3995WX,CPU,7/14/20,7,280,74,3800,2700,AMD
Intel Pentium 4 HT 517,CPU,1/1/01,90,84,109,125,2933,Intel
AMD Athlon II X2 270u,CPU,9/21/10,45,25,117,410,2000,AMD
AMD Athlon 64 3000+,CPU,10/14/04,90,67,84,69,1800,AMD
Intel Xeon L5640,CPU,3/16/10,32,60,239,1170,2266,Intel
Intel Xeon Silver 4314,CPU,4/6/21,10,135,,,2400,Intel
AMD A6-9120C SoC,CPU,1/7/19,28,6,124,1200,1600,AMD
Intel Core i9-10920X,CPU,10/19/19,14,165,,,3500,Intel
Intel Core i5-1035G7,CPU,8/1/19,10,25,,,1200,Intel
AMD Opteron 244,CPU,5/18/04,130,82,193,106,1800,AMD
Intel Celeron B830,CPU,9/1/12,32,35,131,504,1800,Intel
AMD Sempron 3000+,CPU,5/23/06,90,62,103,81,1600,AMD
AMD Athlon 64 X2 5000+ EE,CPU,9/6/06,90,65,220,154,2600,AMD
Intel Core i9-9980HK,CPU,4/23/19,14,45,149,,2400,Intel
Intel Xeon Gold 6338T,CPU,4/6/21,10,165,,,2100,Intel
AMD Opteron X2 265,CPU,5/31/05,90,95,,233,1800,AMD
Intel Pentium 4 HT 3.6E,CPU,8/4/04,90,115,109,125,3600,Intel
AMD Athlon 64 LE-1640,CPU,10/8/07,90,45,230,227,2600,AMD
AMD Athlon 64 3700+,CPU,1/1/01,90,89,199,233,2200,AMD
Intel Xeon 7120M,CPU,8/27/06,65,95,435,1328,3000,Intel
Intel Core i9-10980XE,CPU,10/19/19,14,165,,,3000,Intel
Intel Core i3-4360,CPU,5/1/14,22,54,177,1400,3700,Intel
Intel Core i5-1130G7,CPU,9/2/20,10,15,,,1100,Intel
AMD Ryzen 5 PRO 4650GE,CPU,7/21/20,7,35,,,3300,AMD
AMD Phenom II X3 710,CPU,2/9/09,45,95,258,758,2600,AMD
Intel Pentium Silver J5005,CPU,12/1/17,14,10,,,1500,Intel
AMD Opteron 150,CPU,8/2/05,90,85,,106,2400,AMD
Intel Pentium M 1.30,CPU,3/12/03,130,24,100,77,1300,Intel
AMD Ryzen 5 3600X,CPU,7/7/19,7,95,74,3800,3800,AMD
Intel Pentium 4 HT 520,CPU,6/21/04,90,84,109,125,2933,Intel
AMD Opteron 846 HE,CPU,3/1/05,90,55,,106,2000,AMD
Intel Xeon Platinum 9242,CPU,4/2/19,14,350,,8000,2300,Intel
Intel Core i3-10105,CPU,3/16/21,14,65,,,3700,Intel
Intel Core i9-9960X,CPU,10/19/18,14,165,,,3100,Intel
AMD Athlon II X2 240e,CPU,10/20/09,45,45,117,410,2800,AMD
AMD A8-3530MX,CPU,6/14/11,32,45,228,1178,1900,AMD
Intel Core 2 Quad Q8400,CPU,4/19/09,45,95,82,456,2666,Intel
Intel Core i5-7600K,CPU,1/3/17,14,91,,,3800,Intel
AMD Sempron 3300+,CPU,8/19/05,90,62,,63,2000,AMD
Intel Xeon E5-2680 v2,CPU,9/1/13,22,115,160,1400,2800,Intel
AMD Athlon 64 3400+,CPU,1/1/01,90,67,84,69,2400,AMD
AMD Athlon 64 X2 4800+ EE,CPU,5/23/06,90,65,220,154,2400,AMD
Intel Atom S1260,CPU,12/11/12,32,9,,,2000,Intel
Intel Pentium Gold G5500,CPU,4/2/18,14,51,,,3800,Intel
AMD Opteron 6380,CPU,11/5/12,32,115,315,2400,2500,AMD
AMD Athlon II X4 630,CPU,9/16/09,45,95,169,300,2800,AMD
AMD Athlon 64 X2 4200+,CPU,12/1/06,65,65,126,154,2200,AMD
Intel Atom E3815,CPU,10/8/13,22,5,,,1467,Intel
Intel Mobile Pentium 4 HT 548,CPU,9/28/04,90,88,112,125,3334,Intel
Intel Pentium 4 2.4,CPU,4/2/02,130,110,146,55,2400,Intel
AMD Athlon II X3 420e,CPU,9/21/10,45,45,169,300,2600,AMD
Intel Core i5-750s,CPU,1/7/10,45,82,296,774,2400,Intel
AMD Phenom II X4 650T,CPU,7/1/11,45,95,346,904,2700,AMD
Intel Core i3-3240T,CPU,9/3/12,22,35,94,,3000,Intel
Intel Pentium 3556U,CPU,9/1/13,22,15,118,1400,1700,Intel
AMD Athlon X2 4850e,CPU,3/5/08,65,45,126,154,2500,AMD
Intel Core i3-2130,CPU,9/4/11,32,65,131,504,3400,Intel
Intel Celeron G1820,CPU,12/1/13,22,54,177,1400,2700,Intel
Intel Core i5-5200U,CPU,3/1/15,14,15,,,2200,Intel
Intel Core i9-9900X,CPU,10/19/18,14,165,,,3500,Intel
AMD Opteron 244,CPU,4/22/03,130,85,193,106,1800,AMD
Intel Xeon E5-2643 v2,CPU,9/1/13,22,130,160,1400,3500,Intel
Intel Celeron 2955U,CPU,9/1/13,22,15,118,1400,1400,Intel
AMD Phenom II X4 905e,CPU,6/2/09,45,65,258,758,2500,AMD
Intel Atom Z520,CPU,4/2/08,45,2,26,47,1334,Intel
AMD Athlon XP 2400+,CPU,9/1/03,130,68,,63,2000,AMD
AMD Sempron 2600+,CPU,7/28/04,130,62,80,37,1833,AMD
Intel Pentium III 1133,CPU,7/31/00,180,29,80,44,1133,Intel
Intel Core i3-2120,CPU,2/20/11,32,65,131,504,3300,Intel
Intel Xeon 3.6,CPU,2/14/05,90,135,169,178,3600,Intel
Intel Celeron G550,CPU,6/1/12,32,65,131,504,2600,Intel
Intel Xeon E7-4809 v3,CPU,6/1/15,22,115,160,1400,2000,Intel
Intel Xeon E7-4820 v3,CPU,6/1/15,22,115,160,1400,1900,Intel
Intel Core i7-4710HQ,CPU,4/1/14,22,47,264,1400,2500,Intel
AMD Sempron 3200+,CPU,5/23/06,90,62,103,81,1800,AMD
AMD Athlon II X3 435,CPU,10/9/09,45,95,169,300,2900,AMD
Intel Xeon E3-1225 v2,CPU,5/14/12,22,77,160,1400,3200,Intel
Intel Core i7-6900K,CPU,5/31/16,14,140,,,3200,Intel
Intel Core i5-11400,CPU,3/16/21,14,65,,,2600,Intel
Intel Pentium 4 HT 670,CPU,5/26/05,90,84,109,169,3800,Intel
AMD FX-6100,CPU,10/12/11,32,95,315,1200,3300,AMD
AMD Athlon 64 X2 3600+,CPU,1/1/01,90,89,156,154,2000,AMD
Intel Xeon 5060,CPU,5/23/06,65,130,,,3200,Intel
AMD Mobile Athlon 64 2700+,CPU,8/1/05,130,35,193,106,1600,AMD
Intel Xeon E5-2650L v2,CPU,9/1/13,22,70,160,1400,1700,Intel
Intel Core i5-661,CPU,1/7/10,32,87,81,382,3333,Intel
AMD Athlon 64 3800+,CPU,4/4/05,90,89,83,69,2400,AMD
Intel Celeron N2920,CPU,12/1/13,22,7,,,1860,Intel
AMD FX-4100,CPU,10/12/11,32,95,315,1200,3600,AMD
Intel Core i3-8121U,CPU,5/5/18,10,28,123,,2200,Intel
Intel Pentium G6951,CPU,9/1/10,32,73,81,382,2800,Intel
AMD Sempron 2300+,CPU,1/1/01,130,62,101,63,1583,AMD
AMD FX-6130,CPU,10/23/12,32,95,315,1200,3600,AMD
AMD Phenom II X4 B93,CPU,10/1/09,45,95,258,758,2800,AMD
AMD Opteron 242,CPU,4/22/03,130,85,193,106,1600,AMD
AMD Ryzen Threadripper 3980X,CPU,11/14/19,7,280,74,3800,3500,AMD
Intel Core 2 Duo E4700,CPU,3/2/08,65,65,111,167,2600,Intel
Intel Core i3-2332M,CPU,9/1/11,32,35,149,624,2200,Intel
Intel Core i7-870,CPU,9/8/09,45,95,296,774,2933,Intel
AMD A6-1450,CPU,5/23/13,32,8,246,1178,1000,AMD
Intel Pentium D 960,CPU,5/2/06,65,130,140,376,3600,Intel
Intel Core i7-10700,CPU,4/30/20,14,65,,,2900,Intel
AMD Opteron 842,CPU,6/30/03,130,85,193,106,1600,AMD
Intel Core Solo T1400,CPU,1/5/06,65,27,90,151,1833,Intel
AMD Athlon 64 4000+,CPU,1/1/01,90,89,199,233,2400,AMD
AMD A4-3305M,CPU,6/14/11,32,35,228,1178,1900,AMD
AMD Ryzen 5 2600E,CPU,9/19/18,12,65,192,4800,3100,AMD
Intel Core i9-9880H,CPU,4/23/19,14,45,149,,2300,Intel
Intel Core i7-4558U,CPU,6/4/13,22,28,118,1300,2800,Intel
Intel Core i7-3940XM,CPU,9/3/12,22,55,160,1400,3000,Intel
AMD Opteron 250 HE,CPU,3/1/05,90,55,,106,2400,AMD
Intel Xeon W3503,CPU,3/30/09,45,130,263,731,2400,Intel
AMD Athlon 64 3000+,CPU,1/1/01,90,51,84,69,2000,AMD
Intel Core i9-9900K,CPU,10/19/18,14,95,180,,3600,Intel
Intel Pentium 4 HT EE 3.40,CPU,6/21/04,130,110,237,178,3400,Intel
Intel Xeon Silver 4116,CPU,7/11/17,14,85,,8000,2100,Intel
AMD Phenom X3 8450,CPU,4/23/08,65,95,285,450,2100,AMD
Intel Core i3-530,CPU,1/7/10,32,73,81,382,2933,Intel
AMD Athlon II X4 641,CPU,2/6/12,32,100,228,1178,2800,AMD
AMD Sempron 3400+,CPU,10/1/05,90,62,84,63,2000,AMD
AMD Ryzen 7 5700G,CPU,4/13/21,7,65,,,3800,AMD
Intel Xeon Silver 4309Y,CPU,4/6/21,10,105,,,2800,Intel
Intel Core i7-4550U,CPU,6/4/13,22,15,118,1300,1500,Intel
AMD Opteron 144,CPU,9/9/03,130,82,193,106,1800,AMD
Intel Core i5-2415M,CPU,9/1/11,32,35,149,624,2300,Intel
Intel Core i3-8100T,CPU,4/2/18,14,35,,,3100,Intel
AMD Mobile Athlon 64 2800+,CPU,8/1/04,130,82,193,106,1800,AMD
Intel Pentium III 1333,CPU,12/1/01,130,30,80,44,1333,Intel
Intel Xeon W3680,CPU,3/16/10,32,130,239,1170,3333,Intel
Intel Core i5-11600K,CPU,3/16/21,14,125,,,3900,Intel
AMD EPYC 7543,CPU,3/15/21,7,225,,,2800,AMD
AMD Phenom II X4 960T BE,CPU,6/1/10,45,95,346,904,3000,AMD
Intel Core i9-11900KF,CPU,3/16/21,14,125,,,3500,Intel
AMD Ryzen 7 5800H,CPU,1/12/21,7,54,156,9800,3200,AMD
AMD Opteron X2 280,CPU,9/26/05,90,95,,233,2400,AMD
AMD Athlon 1133,CPU,10/31/00,180,63,120,37,1133,AMD
Intel Pentium 4 HT 520,CPU,6/21/04,90,84,109,125,2800,Intel
AMD FX-8370,CPU,9/2/14,32,125,315,1200,4000,AMD
AMD Ryzen 7 3700U,CPU,1/6/19,12,15,210,4940,2300,AMD
Intel Core i7-6800K,CPU,5/31/16,14,140,,,3400,Intel
Intel Core i5-7400T,CPU,1/3/17,14,35,,,2400,Intel
AMD Phenom II X2 545,CPU,6/1/09,45,80,258,758,3000,AMD
Intel Core 2 Quad Q6700,CPU,4/20/07,65,95,143,582,2666,Intel
Intel Core i7-4870HQ,CPU,7/1/14,22,47,264,1400,2500,Intel
AMD Athlon 600,CPU,6/5/00,180,38,120,37,600,AMD
AMD Athlon II X2 235e,CPU,10/20/09,45,45,117,410,2700,AMD
Intel Pentium M 735,CPU,5/10/04,90,21,84,140,1700,Intel
AMD Athlon 64 X2 5800+,CPU,4/1/08,65,89,126,154,3000,AMD
AMD Athlon XP 2000+,CPU,9/1/03,130,60,,63,1667,AMD
Intel Core i5-680,CPU,4/19/10,32,73,81,382,3600,Intel
Intel Pentium 4 506,CPU,6/1/05,90,84,109,125,2660,Intel
Intel Core 2 Quad Q9650,CPU,8/10/08,45,95,107,820,3000,Intel
Intel Core i5-460M,CPU,9/26/10,32,35,81,382,2534,Intel
Intel Xeon E3-1260L,CPU,4/3/11,32,45,216,1160,2400,Intel
Intel Pentium E6700,CPU,5/30/10,45,65,82,228,3200,Intel
AMD Athlon 64 X2 4400+,CPU,5/23/06,90,89,220,154,2200,AMD
Intel Xeon Phi 7210,CPU,6/20/16,14,215,,8000,1300,Intel
Intel Pentium G645,CPU,9/2/12,32,65,131,504,2900,Intel
Intel Core 2 Solo ULV U2200,CPU,9/1/07,65,5,143,291,1200,Intel
Intel Core i3-4330,CPU,9/1/13,22,54,177,1400,3500,Intel
AMD Phenom II 42 TWKR Black Edition,CPU,6/1/09,45,125,258,758,2000,AMD
AMD Phenom II X4 925,CPU,5/11/09,45,95,258,758,2800,AMD
AMD Ryzen 7 PRO 2700,CPU,9/19/18,12,65,192,4800,3200,AMD
Intel Celeron N2910,CPU,9/11/13,22,7,,,1600,Intel
AMD EPYC 7F32,CPU,4/14/20,7,180,74,3800,3700,AMD
Intel Core 2 Extreme QX9775,CPU,3/24/08,45,150,107,820,3200,Intel
AMD Athlon 64 3500+ (F3),CPU,2/20/07,90,59,1,154,2200,AMD
Intel Xeon 7140N,CPU,8/27/06,65,150,435,1328,3333,Intel
Intel Core 2 Duo E6700,CPU,7/27/06,65,65,143,291,2667,Intel
Intel Pentium 4 HT EE 3.20,CPU,11/3/03,130,110,237,178,3200,Intel
Intel Pentium E6800,CPU,8/29/10,45,65,82,228,3333,Intel
Intel Xeon Platinum 8180,CPU,7/11/17,14,205,,8000,2500,Intel
AMD Athlon II X2 265,CPU,9/21/10,45,65,117,410,3300,AMD
AMD Phenom X4 9500,CPU,11/19/07,65,95,285,450,2200,AMD
AMD Turion 64 MT-28,CPU,6/22/05,90,22,125,114,1600,AMD
Intel Xeon W3550,CPU,8/9/09,45,130,263,731,3066,Intel
Intel Celeron 725C,CPU,7/1/11,32,17,131,504,1300,Intel
AMD EPYC 7251,CPU,6/29/17,14,120,213,4800,2100,AMD
AMD Ryzen 9 4900HS,CPU,3/7/20,7,35,156,9800,3000,AMD
AMD A10-4655M,CPU,5/15/12,32,25,246,1178,2000,AMD
Intel Atom Z510,CPU,4/2/08,45,2,26,47,1100,Intel
AMD FX-4130,CPU,1/30/13,32,125,315,1200,3800,AMD
Intel Xeon E3-1265L v2,CPU,5/14/12,22,45,160,1400,2500,Intel
Intel Celeron G1820TE,CPU,12/1/13,22,54,177,1400,2200,Intel
Intel Pentium E5400,CPU,1/18/09,45,65,82,228,2700,Intel
AMD Athlon XP 2500+ DTR,CPU,2/10/03,130,68,101,63,1833,AMD
AMD A10-5800K,CPU,10/2/12,32,100,246,1178,3800,AMD
Intel Xeon Gold 5317,CPU,4/6/21,10,150,,,3000,Intel
AMD Athlon II X4 631,CPU,8/17/11,32,100,228,1178,2600,AMD
AMD Opteron 846,CPU,12/1/04,90,85,,106,2000,AMD
AMD Athlon 64 X2 3800+,CPU,8/1/05,90,89,156,154,2000,AMD
AMD Opteron 848,CPU,11/17/03,130,89,193,106,2200,AMD
Intel Core i7-2670QM,CPU,10/12/11,32,45,216,1160,2200,Intel
AMD Phenom II X6 1035T,CPU,4/27/10,45,95,346,904,2600,AMD
Intel Xeon Platinum 8354H,CPU,4/6/21,14,205,,,3100,Intel
AMD Sempron 3400+,CPU,8/1/05,90,62,84,63,2000,AMD
AMD Athlon 64 3500+ EE,CPU,2/20/07,90,35,183,154,2200,AMD
AMD Ryzen 5 PRO 1600,CPU,6/29/17,14,65,192,4800,3200,AMD
AMD Athlon 64 3200+,CPU,4/27/04,130,89,144,69,2000,AMD
Intel Xeon Platinum 8280,CPU,12/11/18,14,205,,8000,2700,Intel
Intel Xeon Gold 6346,CPU,4/6/21,10,205,,,3100,Intel
Intel Pentium G4620,CPU,1/3/17,14,51,,,3700,Intel
AMD Athlon 64 2800+,CPU,4/27/04,130,32,144,69,1800,AMD
AMD Ryzen 7 3800XT,CPU,7/7/20,7,105,74,3800,3800,AMD
Intel Pentium 957,CPU,6/19/11,32,17,131,504,1200,Intel
AMD Turion 64 MT-40,CPU,8/8/05,90,25,125,114,2200,AMD
Intel Xeon X5667,CPU,3/16/10,32,95,239,1170,3066,Intel
Intel Celeron 807,CPU,7/1/12,32,17,131,504,1500,Intel
AMD Phenom X4 9950 BE (125W),CPU,10/1/08,65,125,285,450,2600,AMD
AMD Athlon II X3 425e,CPU,5/3/11,45,45,169,300,2700,AMD
AMD Athlon XP-M 2400+,CPU,1/1/01,130,45,101,63,1800,AMD
Intel Xeon W3570,CPU,3/30/09,45,130,263,731,3200,Intel
Intel Celeron E1400,CPU,4/20/08,65,65,77,105,2000,Intel
Intel Xeon E5640,CPU,3/16/10,32,80,239,1170,2666,Intel
AMD A4-3310MX,CPU,6/14/11,32,35,228,1178,2100,AMD
AMD Ryzen 3 4300U,CPU,1/6/20,7,25,156,9800,2700,AMD
Intel Core i7-7800X,CPU,6/26/17,14,140,,,3500,Intel
Intel Celeron D 346,CPU,10/1/04,90,73,109,125,3060,Intel
AMD Sempron 3000+ EE SFF,CPU,5/23/06,90,35,103,81,1600,AMD
Intel Core i7-10700KF,CPU,4/30/20,14,125,,,3800,Intel
AMD Athlon 64 LE-1640B,CPU,4/28/08,65,45,77,122,2700,AMD
AMD Opteron 248,CPU,5/18/04,130,89,193,106,2200,AMD
Intel Pentium B950,CPU,6/19/11,32,35,131,504,2100,Intel
